ID,Title,Subtitle,Searchable Number,CategoryId
1,Accepting My Alcoholism,,1,1.0
2,Adjusting to a Sober Life,,2,4.0
3,Agnostics (We Agnostics),,3,3.0
4,Amends,Making Hard Amends,4,3.0
5,Anger,,5,6.0
6,Being Considerate of Others ,(in and out of AA),6,4.0
7,Big Book ,(Using the Big Book),7,3.0
8,Celebrations in Sobriety,,8,7.0
9,Character Defects,,9,3.0
10,Courage to Change ,The Things I Can (Serenity Prayer),10,1.0
11,Cravings,,11,6.0
12,Alcoholism as a Disease,(The Doctors Opinion from the Big Book),12,3.0
13,Don’t Drink ,and Go To Meetings,13,5.0
14,Drugs ,(Problems Other Than Alcohol),14,6.0
15,Easy Does It,,15,5.0
16,Eleventh Step Prayer,"Prayer of Saint Francis of Assisi - ""Lord, make me an instrument of your peace: where there is hatred, let me sow love; where there is injury, pardon; where there is doubt, faith; where there is despair, hope; where there is darkness, light; where there is sadness, joy. O divine Master, grant that I may not so much seek to be consoled as to console, to be understood as to understand, to be loved as to love. For it is in giving that we receive, it is in pardoning that we are pardoned, and it is in dying that we are born to eternal life.""",16,8.0
17,Emotional Balance ,(from Step 10),17,1.0
18,Emotional Hangover ,(from Step 10),18,1.0
19,Emotional Sobriety,"Recognizing emotions, accepting them, and learning to manage them effectively",19,1.0
20,Enjoying Life ,(Having Fun Sober),20,7.0
21,Faith,,21,8.0
22,Fear,,22,6.0
23,Fear of Failure,or Fear of Success,23,6.0
24,Fellowship,,24,4.0
25,Gratitude,,25,2.0
26,Habits of Sobriety,,26,4.0
27,Higher Power,,27,3.0
28,Honesty,(Rigorous Honesty),28,3.0
29,How do you work the steps?,,29,3.0
30,How easy does it get?,(working the program and staying sober),30,1.0
31,How it Works ,(Twelve Step Recovery),31,3.0
32,How were you introduced ,to AA?,32,4.0
33,HALT,Hungry Angry Lonely Tired,33,6.0
34,Improving the Quality ,of My Sobriety,34,1.0
35,Insanity,,35,6.0
36,Inventory ,(Taking My Own),36,3.0
37,Inventory ,(Taking That of Others),37,3.0
38,Keep it Simple,,38,5.0
39,Literature as a Tool,"(Using the Big Book, Twelve and Twelve, Meditations, Etc)",39,3.0
40,Living with Myself, in Sobriety,40,1.0
41,Maintaining Sobriety,,41,4.0
42,Meditation,,42,8.0
43,Meeting Makers Make It,,43,4.0
44,Meetings,,44,4.0
45,Mental Blank ,(page 42 of the Big Book),45,6.0
46,Mental Illness ,(Problems Other Than Alcohol),46,6.0
47,One Day at a Time,,47,5.0
48,Online meetings,,48,4.0
49,Pause when Agitated ,(Big Book page 87),49,6.0
50,Physical Illness ,(Problems Other Than Alcohol),50,6.0
51,Powerlessness,,51,3.0
52,Practicing These Principles in All Our Affairs,,52,3.0
53,Prayer,,53,8.0
54,The AA Preamble,"Alcoholics Anonymous is a fellowship of people who share their experience, strength and hope with each other that they may solve their common problem and help others to recover from alcoholism.",54,10.0
55,Principles ,Before Personalities,55,10.0
56,Relapse,,56,6.0
57,"Resentment, ",What is a Resentment?,57,6.0
58,Rituals of Sobriety,,58,4.0
59,Sanity,,59,3.0
60,Serenity Prayer,,60,8.0
61,Sharing at Meetings,(talking or telling my story),61,4.0
62,Slips,,62,6.0
63,Slogans,,63,5.0
64,Sobriety Dates,,64,7.0
65,Spiritual Awakening,,65,3.0
66,Spiritual Axiom ,(from Step Ten page 90 - 12 and 12),66,3.0
67,Sponsorship,,67,4.0
68,Step One,We admitted we were powerless over alcohol — that our lives had become unmanageable.,68,3.0
69,Step Two,Came to believe that a Power greater than ourselves could restore us to sanity.,69,3.0
70,Step Three,Made a decision to turn our will and our lives over to the care of God as we understood Him.,70,3.0
71,Step Four,Made a searching and fearless moral inventory of ourselves.,71,3.0
72,Step Five,"Admitted to God, to ourselves, and to another human being the exact nature of our wrongs.",72,3.0
73,Step Six,Were entirely ready to have God remove all these defects of character.,73,3.0
74,Step Seven,Humbly asked Him to remove our shortcomings.,74,3.0
75,Step Eight,"Made a list of all persons we had harmed, and became willing to make amends to them all.",75,3.0
76,Step Nine,"Made direct amends to such people wherever possible, except when to do so would injure them or others.",76,3.0
77,Step Ten,Continued to take personal inventory and when we were wrong promptly admitted it.,77,3.0
78,Step Eleven,"Sought through prayer and meditation to improve our conscious contact with God as we understood Him, praying only for knowledge of His will for us and the power to carry that out.",78,3.0
79,Step Twelve,"Having had a spiritual awakening as the result of these Steps, we tried to carry this message to alcoholics, and to practice these principles in all our affairs.",79,3.0
80,Surrender,,80,3.0
81,Taking Things for Granted ,(before and after sobriety),81,1.0
82,Too Busy for Meetings?,,82,4.0
83,Triggers,,83,6.0
84,Turning it Over,,84,5.0
85,Twelfth Step Calls ,(going to see someone who is asking for help and/or drinking),85,4.0
86,Unfinished Amends,,86,3.0
87,Using the Program ,Instead of Using Alcohol,87,4.0
88,We are not a glum lot ,(from page 132 of the Big Book),88,8.0
89,What is AA?,,89,4.0
90,What do You do,to Stay Sober?,90,4.0
91,What do you love about AA?,,91,4.0
92,What Step are you on?,,92,3.0
93,When others are drinking ,(and potentially dangerous),93,6.0
94,Who supported you?,Who supported you to get or stay sober?,94,4.0
95,Why did you get sober?,,95,1.0
96,Willingness,,96,5.0
97,Wisdom, To Know the Difference (Serenity Prayer),97,8.0
98,Live It,You may be the only Big Book a new person sees.,98,5.0
99,Zoom (virtual) meetings.,,99,4.0
100,Brick & Mortar ,In-Person Meetings.,100,4.0
101,Unity,,101,
102,Service,,102,
103,Recovery,,103,
